,Date,Open,High,Low,Close,Adj Close,Volume,up_down,Mean Score,Mean Magnitude
120,2020-05-01,8672.7822265625,9048.0234375,8667.763671875,8864.7666015625,8864.7666015625,44068389997,0,-0.020000001043081285,1.0800000078976155
121,2020-05-02,8869.0576171875,9007.1875,8811.3662109375,8988.5966796875,8988.5966796875,40134388683,1,0.13000000193715094,1.2400000058114529
122,2020-05-03,8983.6142578125,9167.78125,8830.9716796875,8897.46875,8897.46875,47101785174,1,-0.04999999925494194,1.189999993145466
123,2020-05-04,8895.7451171875,8956.90625,8645.0244140625,8912.654296875,8912.654296875,45718796276,0,0.04000000059604645,1.2500000104308129
124,2020-05-05,8912.83203125,9062.4150390625,8856.8271484375,9003.0703125,9003.0703125,43148462663,1,-0.030000000447034835,0.4599999971687794
125,2020-05-06,9007.44140625,9411.4677734375,8966.7060546875,9268.76171875,9268.76171875,49371886931,1,0.05000000074505806,1.0899999849498272
126,2020-05-07,9261.8955078125,9992.6640625,9138.322265625,9951.5185546875,9951.5185546875,61112700562,1,0.06000000238418579,0.7100000008940697
127,2020-05-08,9936.162109375,9996.7431640625,9767.1728515625,9842.666015625,9842.666015625,51780748042,1,0.08000000044703484,0.9999999962747097
128,2020-05-09,9840.90625,9913.86328125,9580.64453125,9593.896484375,9593.896484375,46566121841,0,0.14000000208616256,0.76000000461936
129,2020-05-10,9591.1689453125,9595.5810546875,8395.107421875,8756.4306640625,8756.4306640625,63325279337,0,0.020000001043081285,1.3899999886751175
130,2020-05-11,8755.53515625,9033.470703125,8374.3232421875,8601.7958984375,8601.7958984375,57119858802,0,0.3100000023841858,1.2300000041723251
131,2020-05-12,8610.3857421875,8949.8984375,8569.6435546875,8804.4775390625,8804.4775390625,42142717533,0,-0.03999999612569809,1.6399999618530274
132,2020-05-13,8805.3876953125,9317.87890625,8805.3876953125,9269.9873046875,9269.9873046875,45558144023,1,0.009999999403953552,0.7500000149011612
133,2020-05-14,9271.3291015625,9793.2685546875,9255.03515625,9733.7216796875,9733.7216796875,56426907637,1,0.11000000089406967,1.270000010728836
134,2020-05-15,9734.291015625,9755.828125,9261.3984375,9328.197265625,9328.197265625,48158802327,1,-0.10000000149011612,1.0300000138580798
135,2020-05-16,9333.240234375,9564.205078125,9260.6943359375,9377.013671875,9377.013671875,36164766408,0,-0.0800000011920929,1.3400000251829625
136,2020-05-17,9374.9296875,9823.001953125,9349.5458984375,9670.7392578125,9670.7392578125,40084250663,1,-0.04999999776482582,0.8299999922513962
